Time,Body,RA,Dec,Distance_AU,Altitude_deg,Azimuth_deg
2025-10-05 16:56:54,Sun,12h 45m 26.07s,"-04deg 52' 45.8""",0.9998930995460145,4.050481883104416,256.6992738730095
2025-10-05 16:56:54,Moon,23h 31m 39.55s,"-02deg 36' 20.0""",0.002450378764600281,0.47645362574037137,95.81493432770723
2025-10-05 16:56:54,Mercury,13h 43m 35.24s,"-11deg 26' 00.2""",1.3371504388550652,7.170779226190436,241.12812262689533
2025-10-05 16:56:54,Venus,11h 23m 37.60s,"+05deg 25' 42.3""",1.5254279505773827,-0.4923901037917955,279.13819515339156
2025-10-05 16:56:54,Mars,14h 25m 10.70s,"-14deg 31' 34.8""",2.3670497125860575,9.919260871470053,230.78287356600035
2025-10-05 16:56:54,Jupiter,07h 37m 50.76s,"+21deg 33' 47.3""",5.264511736060205,-13.474034855939403,335.0859232906872
2025-10-05 16:56:54,Saturn,23h 53m 09.21s,"-03deg 28' 36.8""",8.578286841866715,-2.546113286940001,92.15463480978
2025-10-05 16:56:54,Uranus,03h 54m 34.38s,"+20deg 05' 52.1""",18.827148331001922,-13.741323480373666,28.606061999741193
2025-10-05 16:56:54,Neptune,00h 02m 25.04s,"-01deg 14' 10.4""",28.909621595199074,-2.233766320326048,88.94605556219534
2025-10-05 16:56:54,Pluto,20h 16m 34.50s,"-23deg 37' 02.0""",35.02919129576866,8.638205504181455,147.14393485145675
2025-10-05 16:57:04,Sun,12h 45m 26.09s,"-04deg 52' 46.0""",0.9998930659640002,4.025065264016436,256.73246427376614
2025-10-05 16:57:04,Moon,23h 31m 39.90s,"-02deg 36' 17.1""",0.002450375227382609,0.5021780393658646,95.84621752713737
2025-10-05 16:57:04,Mercury,13h 43m 35.28s,"-11deg 26' 00.4""",1.3371495378796043,7.147906267250435,241.162408095155
2025-10-05 16:57:04,Venus,11h 23m 37.63s,"+05deg 25' 42.1""",1.525428423975569,-0.5181627896870387,279.1709708379947
